label,projection_score
1,0.14106597
1,0.17293163
1,0.12747422
1,-0.12874536
0,-0.03317346
0,-0.06640777
0,0.02831087
0,0.007600673
1,0.0074564107
0,-0.14356558
1,0.200165
1,-0.06506812
0,-0.030042876
1,-0.27827284
1,0.16209918
0,0.075381756
0,-0.07669245
1,0.14136083
1,0.3718223
0,0.01628978
0,-0.09686205
1,0.06431708
1,0.11553915
0,-0.030389534
1,0.2589486
0,-0.020734336
0,-0.007564761
0,-0.042685095
1,0.09279046
1,0.009196179
0,0.036627978
1,-0.053407256
0,-0.0987725
1,0.4144905
1,0.2651728
1,0.25019684
1,0.19088353
1,-0.049322203
0,-0.09450002
0,0.006786123
1,-0.0055716666
1,-0.036779474
1,-0.1832578
1,-0.011131747
0,0.04270566
1,-0.14376877
0,0.04375097
0,-0.058127947
1,-0.12486899
0,-0.059223924
0,0.09474444
0,0.015307533
1,-0.13272838
1,-0.06858698
0,-0.15127121
0,-0.07846653
0,0.0080189975
1,0.09237874
0,-0.0017993087
1,0.029457146
1,0.120188735
0,0.0022209992
0,0.023761597
0,-0.013471805
1,0.13093822
1,-0.10411149
0,-0.02299441
0,-0.102948874
1,-0.13513944
1,0.09989445
0,0.10000224
1,-0.03951269
1,0.3165392
1,0.110201426
0,-0.03986065
0,0.023473058
1,0.1892214
0,0.024664147
0,0.013086845
1,0.09545016
1,-0.16424558
1,0.0869987
1,-0.1286299
0,-0.13416724
0,-0.01690145
1,0.08543654
0,0.08712617
1,0.033396
1,-0.016528822
0,0.073688686
0,-0.04708095
1,-0.09546095
0,-0.21341608
0,-0.037820384
0,0.0030881045
0,-0.1052865
1,0.15539114
1,0.29639906
0,0.037791427
1,0.13463241
0,-0.0029034792
1,0.22009571
1,0.041210603
1,0.18449384
0,0.0037386445
0,0.043497168
1,0.18211481
1,0.07362561
0,-0.09458549
0,0.060954526
1,-0.19742127
0,0.09987582
0,-0.094699085
1,0.21292111
0,0.03355521
1,0.16825037
1,0.17154846
1,0.19170515
1,0.09149953
0,0.06534186
1,-0.01405211
0,-0.061967593
1,0.2135629
0,0.0363169
1,-0.2296342
1,0.08953119
0,0.0030148216
0,0.08679209
0,0.17954709
1,0.116237834
1,0.41295472
0,-0.09453404
1,-0.17786218
0,0.110550664
1,0.22210895
1,-0.1523123
0,-0.11434922
0,0.014519376
1,0.43493056
0,-0.016224515
0,0.12589532
1,0.23098011
1,0.26762366
1,0.27496287
1,0.11055648
0,-0.06761484
1,0.09777332
1,-0.13431457
1,0.2590701
0,0.099435605
1,0.01652487
