label,pca_x,pca_y
1,-0.23773898,0.5687555
1,0.03263243,0.21610248
0,0.15490659,0.066232815
1,-0.44855416,-0.37227684
0,0.12937987,0.15789877
1,-0.0019369051,-0.20809682
1,-0.09373786,-0.19927467
0,-0.112349495,0.049999535
0,-0.15018076,0.09682449
1,0.23139882,-0.14210711
1,0.111637995,-0.07272105
1,-0.041099407,-0.123534724
1,0.13034567,-0.3211155
1,-0.18820055,-0.32857627
0,0.266149,0.020511046
0,-0.0063779056,0.037020236
0,-0.084582075,0.092812866
1,-0.1996056,-0.146549
1,-0.1606818,0.23528501
1,-0.32567394,0.1688314
0,-0.15808263,-0.0073222667
0,0.23479998,-0.061554
0,0.37368554,0.05108495
0,0.027576331,-0.02446954
0,-0.18926914,0.019058794
1,0.13456821,0.22811377
1,0.25309083,-0.09072684
0,0.32983267,0.19813593
0,-0.08879632,0.1049685
1,-0.005786188,0.40294975
0,0.3010729,0.021354504
0,-0.09877002,0.0957914
1,-0.088574454,-0.18694226
0,0.20180899,-0.030951634
1,0.13112515,-0.51422507
0,0.089205354,0.015288487
0,-0.25062963,-0.06351562
0,-0.055131435,0.070972145
1,0.09002355,0.28600338
0,0.07279827,-0.03736578
0,0.09376694,-0.15943633
0,-0.26610947,0.10763393
0,-0.12605602,0.19483042
1,-0.25637272,0.1333907
1,-0.3526707,-0.06242363
0,-0.08211227,0.10046807
0,0.044238213,0.024424262
0,-0.07279393,0.025356218
1,0.26389965,0.2560331
1,-0.005510211,-0.5711446
1,-0.19255453,-0.2930687
0,-0.088418454,0.1721411
1,0.401613,0.14835566
0,-0.058253676,-0.13686742
1,0.25884598,-0.07568614
1,0.024277914,0.14069414
1,-0.029451711,-0.21524592
0,0.15631738,-0.10734084
1,-0.32114768,-0.13021852
0,-0.07945763,-0.06455116
0,0.32664222,-0.038525388
1,0.19789153,0.036214203
0,-0.17825866,-0.1412731
0,-0.34700555,-0.0008724928
0,0.22753423,-0.052290097
1,0.012054849,-0.38259178
0,0.015893262,0.044422805
1,-0.08564696,0.18639287
0,-0.17668062,0.031048194
0,-0.10875018,0.011213735
0,0.10327166,-0.1369086
1,-0.12465526,-0.4356407
1,0.41367728,-0.08586764
0,0.18342197,-0.089092836
1,-0.029821672,0.26467985
0,0.11731529,0.02418863
1,0.115626186,0.37320516
0,-0.10488802,0.2318038
1,-0.061252777,-0.10531144
0,-0.1774233,0.028599963
1,0.017024755,0.061830312
0,-0.024947368,0.015593752
0,0.060146768,0.13907783
1,0.11850563,-0.39918816
1,0.10672316,0.13418171
0,-0.06460689,0.057579488
0,-0.15693234,-0.0939133
1,0.055219974,0.13133343
0,0.40195245,0.03068053
0,-0.03992687,0.040944964
0,0.09304787,0.18906856
1,-0.18912888,0.35733914
0,-0.27033007,0.18919575
1,0.45337197,-0.06538582
1,-0.54745644,0.27588844
1,-0.021526497,-0.10445313
0,0.014606886,0.16288249
0,-0.22483796,0.057563856
0,-0.06864582,0.19255176
1,-0.10707328,0.18206695
1,0.091747046,0.4230414
0,0.32804587,0.35049486
1,-0.3868184,-0.28433323
0,0.028911266,-0.032201618
0,0.25017598,0.043847278
0,-0.12246896,0.01519613
0,-0.061920665,0.13893367
0,0.052773137,0.06715963
1,0.13025543,0.0021510273
0,-0.1585182,-0.1609224
0,-0.020563578,0.10193211
1,0.29976445,0.121375546
1,-0.29060882,0.11907137
0,-0.017599374,0.102459654
0,-0.011440238,0.15239137
0,-0.27522233,-0.16784103
1,-0.17679065,-0.18848662
1,-0.13880336,-0.3834887
1,-0.19805402,-0.024871513
